Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4,Clusters,Taxa,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4,taxaQ.Clust1,taxaQ.Clust2
KP0046_AC_SB10,SB10,SB,10-12, 0.45528195,-0.48300401,-6.111424e-01, 0.721336689,Clust3,Clust2,0.000010,0.101265,0.898715,0.000010,0.001532,0.998468
KP0050_AC_SB10,SB10,SB,10-12, 0.88616866,-1.60480420,-6.357036e-01,-0.382609906,Clust3,Clust2,0.000010,0.000010,0.998968,0.001012,0.001139,0.998861
KP0055_AC_SB10,SB10,SB,10-12, 0.48723114,-0.80475390,-1.563281e+00,-0.660847557,Clust3,Clust2,0.025568,0.103055,0.871367,0.000010,0.043638,0.956362
KP0057_AC_SB10,SB10,SB,10-12, 0.49973270,-1.98813348,-1.167873e+00,-1.032055228,Clust3,Clust2,0.000010,0.000010,0.912217,0.087763,0.005998,0.994002
KP0058_AC_SB10,SB10,SB,10-12, 0.67433724,-1.74669379,-2.969580e-01,-0.026330376,Clust3,Clust2,0.000010,0.072505,0.744760,0.182725,0.005907,0.994093
KP0060_AC_SB10,SB10,SB,10-12, 0.47668593,-1.43792022,-3.497929e-01,-0.554173271,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.000010,0.999990
KP0061_AC_SB10,SB10,SB,10-12, 0.93844766,-1.85227750,-6.668609e-01,-0.552424360,Clust3,Clust2,0.000010,0.009390,0.990590,0.000010,0.000010,0.999990
KP0072_AC_SB10,SB10,SB,10-12, 0.21829217,-1.53129718,-1.074306e+00,-0.391259343,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.042723,0.957277
KP0074_AC_SB10,SB10,SB,10-12, 0.74711169,-1.73250911,-4.413239e-02, 0.264627336,Clust3,Clust2,0.000010,0.000010,0.955771,0.044209,0.010556,0.989444
KP0078_AC_SB10,SB10,SB,10-12, 0.78064547,-1.85881091,-1.217254e+00, 0.144914548,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.016905,0.983095
KP0081_AC_SB10,SB10,SB,10-12, 0.87372661,-1.98175832,-1.271555e+00, 0.243977842,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.009062,0.990938
KP0089_AC_SB10,SB10,SB,10-12, 0.64186195,-1.71919091,-6.135785e-01,-1.113898223,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.000010,0.999990
KP0095_AC_SB10,SB10,SB,10-12, 0.84642322,-1.46243581,-3.287345e-01,-0.418088147,Clust3,Clust2,0.000010,0.062113,0.937867,0.000010,0.000010,0.999990
KP0100_AC_SB10,SB10,SB,10-12, 0.90259721,-1.33873788,-5.583555e-01, 0.514663865,Clust3,Clust2,0.000010,0.043053,0.900584,0.056354,0.000010,0.999990
KP0101_AC_SB10,SB10,SB,10-12, 0.77586136,-1.16456461,-1.492373e+00,-1.226159706,Clust3,Clust2,0.000010,0.098185,0.901795,0.000010,0.000010,0.999990
KP0102_AC_SB10,SB10,SB,10-12, 0.79928093,-1.84134316,-5.139054e-01,-1.109536050,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.018560,0.981440
KP0104_AC_SB10,SB10,SB,10-12, 0.15563235,-1.64473832,-1.041062e+00,-0.414224753,Clust3,Clust2,0.015632,0.000010,0.966640,0.017718,0.033295,0.966705
KP0109_LM_SB10,SB10,SB,10-12, 0.76673960,-1.13818292,-4.282239e-01,-0.352272302,Clust3,Clust2,0.000010,0.073057,0.791910,0.135023,0.000010,0.999990
KP0112_AC_SB10,SB10,SB,10-12, 1.07937687,-1.38521786,-1.268949e+00,-0.682360796,Clust3,Clust2,0.000010,0.029421,0.970559,0.000010,0.000010,0.999990
KP0116_AC_SB10,SB10,SB,10-12, 0.20708688,-1.92698993,-1.266494e+00,-0.874714106,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.015953,0.984047
KP0120_AC_SB10,SB10,SB,10-12, 0.82694340,-1.47448099,-1.110869e+00,-0.841929518,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.000010,0.999990
KP0121_AC_SB10,SB10,SB,10-12, 0.28917230,-1.69121621,-8.152604e-01,-0.424378094,Clust3,Clust2,0.006968,0.000010,0.993012,0.000010,0.052297,0.947703
KP0122_AC_SB10,SB10,SB,10-12, 0.51464360,-1.85173948,-8.924818e-01,-0.357194408,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.023304,0.976696
KP0123_AC_SB10,SB10,SB,10-12, 0.70221700,-1.28896191,-1.018215e+00,-0.366579336,Clust3,Clust2,0.000010,0.025939,0.974041,0.000010,0.000010,0.999990
KP0125_AC_SB10,SB10,SB,10-12, 0.46702125,-1.98572536,-1.175360e+00,-0.236010942,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.035209,0.964791
KP0127_AC_SB10,SB10,SB,10-12, 0.59556904,-1.48554955,-4.385303e-01,-1.586350369,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.009922,0.990078
KP0129_AC_SB10,SB10,SB,10-12, 0.44466523,-0.89859338,-4.342611e-01,-0.325892713,Clust3,Clust2,0.000010,0.000010,0.914554,0.085426,0.000010,0.999990
KP0131_HU_SB05,SB05,SB,5, 1.06767446, 0.90880899, 6.552807e-01, 0.423340405,Clust2,Clust2,0.000010,0.969434,0.000010,0.030546,0.000010,0.999990
KP0153_AC_SQ12,SQ12,SQ,10-12, 0.68291397,-1.46962860,-1.128991e+00, 1.048521749,Clust3,Clust2,0.000010,0.031782,0.968198,0.000010,0.000010,0.999990
KP0158_AC_SQ12,SQ12,SQ,10-12, 0.81714405,-1.85817916,-8.938908e-01, 0.665170126,Clust3,Clust2,0.000010,0.000010,0.911565,0.088415,0.016932,0.983068
KP0162_AC_SQ12,SQ12,SQ,10-12, 0.88081640,-1.27558575,-1.363239e+00, 2.519688303,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.000010,0.999990
KP0167_AC_SQ12,SQ12,SQ,10-12, 0.87617541,-1.12085103,-1.380312e-01, 0.996602892,Clust3,Clust2,0.000010,0.162856,0.821048,0.016086,0.021130,0.978870
KP0168_AC_SQ12,SQ12,SQ,10-12, 0.84916964,-1.32423460,-3.958026e-01, 1.186069379,Clust3,Clust2,0.000010,0.000010,0.980229,0.019751,0.016182,0.983818
KP0171_AC_SQ12,SQ12,SQ,10-12, 0.95638888,-1.84220352,-1.576625e+00, 2.012834599,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.000010,0.999990
KP0172_AC_SQ12,SQ12,SQ,10-12, 0.34356965,-1.21410729,-7.106425e-01, 0.584777008,Clust4,Clust2,0.000010,0.000010,0.000010,0.999970,0.000010,0.999990
KP0176_AC_SQ12,SQ12,SQ,10-12, 0.57650374,-1.39501512,-1.219416e+00, 0.311615885,Clust3,Clust2,0.000010,0.082982,0.546943,0.370065,0.000010,0.999990
KP0181_AC_SQ12,SQ12,SQ,10-12, 0.47087558,-1.39184617,-7.624718e-01, 0.749245650,Clust3,Clust2,0.000010,0.000010,0.882220,0.117760,0.000010,0.999990
KP0187_AC_SQ12,SQ12,SQ,10-12, 0.93345287,-1.23290876,-1.351498e+00, 2.459557495,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.000010,0.999990
KP0189_AC_SQ12,SQ12,SQ,10-12, 1.22648095,-1.19348215,-7.076342e-01, 0.820466199,Clust3,Clust2,0.000010,0.113359,0.886621,0.000010,0.006817,0.993183
KP0190_AC_SQ12,SQ12,SQ,10-12, 1.17607919,-1.00220198,-5.950108e-01, 0.404515545,Clust3,Clust2,0.000010,0.073986,0.691394,0.234609,0.000010,0.999990
KP0197_AC_SQ12,SQ12,SQ,10-12, 0.31104954,-1.42013792,-9.898546e-01, 0.502247972,Clust3,Clust2,0.000010,0.000010,0.857399,0.142581,0.029868,0.970132
KP0202_AC_SQ12,SQ12,SQ,10-12, 0.90603225,-1.32083075,-4.249666e-01, 1.520572681,Clust3,Clust2,0.014629,0.073210,0.762540,0.149621,0.026691,0.973309
KP0209_AC_SQ12,SQ12,SQ,10-12, 0.86147949,-1.30724135,-1.126590e+00, 0.987517477,Clust3,Clust2,0.000010,0.131631,0.814832,0.053527,0.000010,0.999990
KP0214_AC_SQ20,SQ20,SQ,20, 0.53113053,-1.05069683,-4.820929e-01, 1.037158321,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010,0.027194,0.972806
KP0218_AC_SQ20,SQ20,SQ,20,-8.38254707, 0.16866320, 1.019749e-01, 0.380068005,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0220_AC_SQ20,SQ20,SQ,20, 0.28602692,-0.79682789,-6.681162e-01, 0.335961125,Clust3,Clust2,0.018698,0.112408,0.868883,0.000010,0.015196,0.984804
KP0222_AC_SQ20,SQ20,SQ,20, 0.55234249,-1.15421282,-9.429479e-02,-0.061612866,Clust3,Clust2,0.000010,0.000010,0.791208,0.208772,0.011494,0.988506
KP0225_AC_SQ20,SQ20,SQ,20, 0.73089308,-0.97501581,-8.334196e-01, 0.366086057,Clust3,Clust2,0.000010,0.069587,0.930393,0.000010,0.000010,0.999990
KP0229_AC_SQ20,SQ20,SQ,20, 0.60325998,-1.08440455,-2.877564e-01, 2.148131888,Clust3,Clust2,0.000010,0.000010,0.992554,0.007426,0.024146,0.975854
KP0235_AC_SQ20,SQ20,SQ,20,-5.71256000, 0.48902736,-5.729787e-03,-0.306289731,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0236_AC_SQ20,SQ20,SQ,20, 0.57681662,-1.05324019,-1.309891e+00, 0.206814146,Clust3,Clust2,0.000010,0.082026,0.917192,0.000773,0.000010,0.999990
KP0237_AC_SQ20,SQ20,SQ,20, 0.83784192,-0.95908904,-7.310155e-01, 0.940805642,Clust3,Clust2,0.000010,0.079410,0.828186,0.092393,0.000010,0.999990
KP0241_AC_SQ20,SQ20,SQ,20,-8.05502149, 0.19691484, 2.796787e-01,-0.330342090,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0242_AC_SQ20,SQ20,SQ,20, 0.40246272,-0.92787483,-7.048894e-01, 1.527336232,Clust3,Clust2,0.000010,0.175431,0.746245,0.078314,0.037659,0.962341
KP0243_AC_SQ20,SQ20,SQ,20,-8.21468221, 0.32949665,-9.108295e-02, 0.675247915,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0247_AC_SQ20,SQ20,SQ,20,-7.60764586, 0.51937636, 4.132207e-02, 0.328769081,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0251_AC_SQ20,SQ20,SQ,20, 1.02772577,-1.07173295,-7.600307e-01,-0.048192965,Clust3,Clust2,0.000010,0.083909,0.895787,0.020294,0.000010,0.999990
KP0255_AC_SQ20,SQ20,SQ,20,-8.01633368, 0.45707141, 2.045998e-01, 0.089794796,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0257_AC_SQ20,SQ20,SQ,20, 0.80053362,-1.54516471,-2.485208e-01, 3.701667853,Clust4,Clust2,0.000010,0.000010,0.000010,0.999970,0.000010,0.999990
KP0259_AC_SQ20,SQ20,SQ,20,-8.21532324, 0.09267693,-1.895022e-01, 0.456048996,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0261_AC_SQ20,SQ20,SQ,20, 1.10684380,-1.65167723,-4.000136e-01, 3.358533540,Clust4,Clust2,0.000010,0.000010,0.339033,0.660947,0.000010,0.999990
KP0269_AC_SQ20,SQ20,SQ,20, 0.60104420,-1.31348117, 1.476699e-02, 1.067490044,Clust3,Clust2,0.001303,0.012553,0.496942,0.489202,0.025460,0.974540
KP0272_AC_SQ20,SQ20,SQ,20, 0.56181941,-1.65356708,-5.239926e-01, 0.894187666,Clust3,Clust2,0.000010,0.058172,0.891932,0.049887,0.000010,0.999990
KP0279_AC_SQ20,SQ20,SQ,20, 0.85003663,-1.14546721,-7.675528e-01, 0.135169060,Clust3,Clust2,0.000010,0.118685,0.777137,0.104168,0.000010,0.999990
KP0284_AC_SQ20,SQ20,SQ,20, 1.41547737,-1.36997047,-6.583138e-01, 0.783511224,Clust3,Clust2,0.000010,0.000010,0.816641,0.183339,0.000010,0.999990
KP0289_AC_WP20,WP20,WP,20, 1.20127174, 1.19271579, 3.890366e-01,-1.211252009,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0291_AC_WP20,WP20,WP,20, 0.87221781, 1.54388242, 1.517273e-02, 0.127436015,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0292_AC_WP20,WP20,WP,20, 0.76664211, 1.19874161,-5.199117e-01,-0.688787052,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0294_AC_WP20,WP20,WP,20, 1.01978786, 1.27026941,-3.071835e-01,-0.824169818,Clust2,Clust2,0.000010,0.913152,0.000010,0.086828,0.000010,0.999990
KP0296_AC_WP20,WP20,WP,20, 1.13732812, 1.41797521, 7.956591e-01,-0.449507528,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0301_AC_WP20,WP20,WP,20, 0.77891468, 1.19214527, 2.162469e-01,-0.150388864,Clust2,Clust2,0.007183,0.960013,0.000010,0.032794,0.000010,0.999990
KP0304_AC_WP20,WP20,WP,20, 1.05344155, 2.24053699, 7.798330e-01, 1.555552386,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0305_AC_WP20,WP20,WP,20, 0.95572377, 1.07769867, 1.474072e-01,-0.960087588,Clust2,Clust2,0.000010,0.904233,0.015680,0.080077,0.000010,0.999990
KP0311_AC_WP20,WP20,WP,20,-8.81630341, 0.47494787, 1.544208e-02, 0.328750367,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0314_AC_WP20,WP20,WP,20, 0.94089450, 1.84262992,-1.194924e+00,-0.042427045,Clust2,Clust2,0.000010,0.978544,0.000010,0.021436,0.000010,0.999990
KP0317_AC_WP20,WP20,WP,20, 0.64163957, 0.56227762,-3.354123e-01, 0.513867825,Clust2,Clust2,0.000010,0.810246,0.038082,0.151662,0.000010,0.999990
KP0323_AC_WP20,WP20,WP,20, 0.79513940, 1.32507172,-7.840843e-01,-0.913237622,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0326_AC_WP20,WP20,WP,20, 0.96430580, 1.38427656,-6.961776e-01,-0.046387269,Clust2,Clust2,0.000010,0.927400,0.072580,0.000010,0.000010,0.999990
KP0329_AC_WP20,WP20,WP,20, 1.30943000, 1.15994456,-4.812836e-02, 0.197382849,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0332_AC_WP20,WP20,WP,20, 0.92832233, 1.68781686,-2.211262e-01,-1.144114293,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0335_AC_WP20,WP20,WP,20, 1.17367567, 1.68090290, 5.188163e-01,-0.082677333,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0340_AC_WP20,WP20,WP,20, 0.14197506,-1.48330441,-3.761783e-01, 0.002238142,Clust3,Clust2,0.001456,0.000010,0.898616,0.099919,0.032650,0.967350
KP0346_AC_WP20,WP20,WP,20, 1.17549136, 0.61509457,-8.276509e-01, 0.086290102,Clust2,Clust2,0.000010,0.685935,0.314045,0.000010,0.000010,0.999990
KP0347_AC_WP20,WP20,WP,20,-8.81886552,-0.11540567, 5.514219e-02, 0.340380474,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0354_AC_WP20,WP20,WP,20, 1.06377702, 1.54846906, 1.110556e-01, 0.104777520,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0355_AC_WP20,WP20,WP,20, 0.69122503, 1.07258370, 2.022473e-01, 0.274250927,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0360_AC_WP20,WP20,WP,20, 1.39890648, 1.27506402, 1.734311e-01, 0.305372868,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0365_AC_WP20,WP20,WP,20, 1.39473990, 1.32069662,-8.465766e-01, 0.553009416,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0368_AC_WP20,WP20,WP,20, 1.37986552, 0.44502311, 4.289160e-01,-0.187044479,Clust2,Clust2,0.000010,0.838945,0.043204,0.117841,0.000010,0.999990
KP0369_AC_WP20,WP20,WP,20,-8.58106472, 0.36066173,-3.729791e-01,-0.137000322,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0372_AC_WP20,WP20,WP,20, 0.56169314, 1.68973791, 4.143406e-03, 0.047555367,Clust2,Clust2,0.000010,0.968951,0.000010,0.031029,0.000010,0.999990
KP0374_AC_WP20,WP20,WP,20, 1.32504648, 1.30731726, 8.197094e-01,-0.028348903,Clust2,Clust2,0.000010,0.912300,0.000010,0.087680,0.000010,0.999990
KP0379_AC_WP20,WP20,WP,20,-6.12618770, 0.07215152, 2.327069e-01,-0.313600185,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0383_AC_WP20,WP20,WP,20, 1.14095725, 1.30037868,-2.760564e-01, 0.302244985,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0395_AC_WP20,WP20,WP,20,-9.05950313, 0.04967728,-8.499995e-02,-0.286897765,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0396_AC_WP20,WP20,WP,20,-9.09527778, 0.07578939,-1.812850e-01,-0.280371642,Clust1,Clust1,0.999962,0.000018,0.000010,0.000010,0.999990,0.000010
KP0399_LM_WP20,WP20,WP,20,-8.67566508, 0.19183083,-7.349886e-06,-0.133247660,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0405_AC_WP20,WP20,WP,20, 1.47211912, 0.80029071, 1.426861e-01,-0.095853969,Clust2,Clust2,0.000010,0.881362,0.000010,0.118618,0.000010,0.999990
KP0406_NA_NANA,WP20,WP,20, 1.12573543, 1.39498583, 1.608138e-01,-0.743486353,Clust2,Clust2,0.000010,0.976978,0.000010,0.023002,0.000010,0.999990
KP0407_AC_CA05,CA05,CA,5, 0.86220637,-0.83312471, 1.081556e+00,-0.620668696,Clust4,Clust2,0.000010,0.031340,0.108123,0.860528,0.000010,0.999990
KP0408_AC_CA05,CA05,CA,5, 1.08257150,-0.82272119, 1.275395e+00, 0.822771797,Clust4,Clust2,0.001276,0.098121,0.000010,0.900593,0.013195,0.986805
KP0409_AC_CA05,CA05,CA,5, 0.77587973,-1.18428176, 1.386827e+00,-0.081235236,Clust4,Clust2,0.000010,0.000010,0.328793,0.671187,0.000010,0.999990
KP0424_AC_CA05,CA05,CA,5, 1.42599315,-1.47313495, 1.856359e+00, 0.283393530,Clust4,Clust2,0.000010,0.000010,0.000010,0.999970,0.000010,0.999990
KP0431_HU_CA05,CA05,CA,5, 0.83453729,-0.50327048, 1.464141e+00,-0.522534934,Clust4,Clust2,0.000010,0.153856,0.000010,0.846124,0.000010,0.999990
KP0441_AC_CA05,CA05,CA,5, 0.86106887,-0.37906048, 1.589911e+00,-0.031617897,Clust4,Clust2,0.000010,0.235031,0.000010,0.764949,0.000010,0.999990
KP0450_AC_WP20,WP20,WP,20, 1.44601596, 1.56629300,-2.561263e-01, 0.357792702,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0452_AC_WP20,WP20,WP,20,-8.88676399, 0.47657037, 1.581544e-01, 0.216739342,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0454_AC_WP20,WP20,WP,20, 1.26727853, 1.53802714, 1.478856e-01, 0.306702817,Clust2,Clust2,0.000010,0.974499,0.000010,0.025481,0.000010,0.999990
KP0457_AC_WP20,WP20,WP,20, 1.42924417, 1.24324550,-2.614407e-01,-0.970301080,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0462_AC_WP20,WP20,WP,20, 1.21482756, 1.58734045,-3.616516e-01, 1.691424776,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0463_AC_WP20,WP20,WP,20,-5.93511469, 0.45767927,-6.159754e-02, 0.054824836,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
